gsn,drugname,strength,dosetype, cost 
064684,PLERIXAFOR,24MG/1.2ML,VIAL, $548.74 
064694,"BIOFLAV,LEMON/VIT BCOMP,C",200-100 MG,TABLET, $0.22 
064701,MESALAMINE,0.375G,CAP ER 24H, $1.36 
064706,ACETYLCARNITINE,500 MG,CAPSULE, $0.79 
064719,TIROFIBAN-0.9% SODIUM CHLORIDE,12.5MG/250,PLAST. BAG, $1.29 
064721,TIROFIBAN-0.9% SODIUM CHLORIDE,5 MG/100ML,PLAST. BAG, $1.33 
064724,CROTAMITON,10 %,LOTION, $3.61 
064725,QUETIAPINE FUMARATE,150 MG,TAB ER 24H, $0.58 
064732,MULTIVITAMIN/IRON/FOLIC ACID,18MG-0.4MG,TABLET, $0.08 
064746,BIMATOPROST,0.03 %,DROP W/APP, $29.42 
064792,"MULTIVIT,MIN17/IRON/FOLIC ACID",4MG-0.3MG,TAB RAPDIS, $0.08 
064793,DEXLANSOPRAZOLE,30 MG,CAP DR BP, $9.55 
064794,DEXLANSOPRAZOLE,60 MG,CAP DR BP, $7.73 
064800,"INHALER,ASSIST DEVICE,ACCESORY",,EACH, $0.28 
064801,SPIROMETERS AND ACCESSORIES,,EACH, $63.25 
064809,VITS A AND D/WHITE PET/LANOLIN,,OINT. (G), $0.00 
064819,LEVETIRACETAM,500 MG/5ML,SOLUTION, $0.71 
064823,UREA,45 %,CREAM (G), $0.62 
064829,FEBUXOSTAT,40 MG,TABLET, $0.80 
064830,FEBUXOSTAT,80 MG,TABLET, $1.16 
064832,"PEN NEEDLE, DIABETIC, SAFETY","29GX 5/16""",DIS NEEDLE, $0.62 
064833,"PEN NEEDLE, DIABETIC, SAFETY","29GX3/16""",DIS NEEDLE, $0.62 
064846,SILODOSIN,4 MG,CAPSULE, $0.94 
064847,SILODOSIN,8 MG,CAPSULE, $0.81 
064864,DOXERCALCIFEROL,4MCG/2ML,VIAL, $0.94 
064893,DEXAMETHASONE,1.5MG (21),TAB DS PK, $8.34 
064901,PRASUGREL HCL,5 MG,TABLET, $0.83 
064902,PRASUGREL HCL,10 MG,TABLET, $0.54 
064921,BENZOYL PEROXIDE,6 %,TOWELETTE, $6.19 
064925,ZINC AMINO ACID CHELATE,50 MG,TABLET, $0.06 
064935,L-NORGEST/E.ESTRADIOL-E.ESTRAD,100-20(84),TBDSPK 3MO, $0.57 
064937,METHYL SALICYLATE/MENTHOL,10 %-3 %,ADH. PATCH, $1.69 
064945,NEBIVOLOL HCL,20 MG,TABLET, $0.29 
064975,CHOLECALCIFEROL (VITAMIN D3),10 MCG,TAB CHEW, $0.05 
064979,TAURINE,1000 MG,CAPSULE, $0.11 
064990,LEVETIRACETAM,750 MG,TAB ER 24H, $0.51 
064994,EVEROLIMUS,5 MG,TABLET, $86.50 
064995,EVEROLIMUS,10 MG,TABLET, $64.47 
065023,CALCIUM CITRATE/VITAMIN D3,200MG-6.25,TABLET, $0.06 
065035,"MV,MIN10/FOLIC ACID/D3/ALA/LUT",1-1000-5,TABLET, $0.08 
065071,"NEEDLES, SAFETY","30GX1/2""",DIS NEEDLE, $0.17 
065109,ROPINIROLE HCL,6 MG,TAB ER 24H, $1.83 
065118,"MULTIVIT,CALC,MINS/IRON/FOLIC",9MG-400MCG,TABLET, $0.08 
065122,LANOLIN,50 %,OINT. (G), $0.02 
065126,MVN-MIN 74/IRON FUM/IRON/FA,85 MG-1 MG,CAPSULE, $0.08 
065127,MVN-MIN75/IRON/IRON PS/OM3/DHA,35-1-200MG,CAPSULE, $0.08 
065140,FACTOR IX,1500 (+/-),VIAL, $1.22 
065148,AMLODIPINE/VALSARTAN/HCTHIAZID,5-160-12.5,TABLET, $4.31 
065149,AMLODIPINE/VALSARTAN/HCTHIAZID,10MG-160MG,TABLET, $4.26 
065150,AMLODIPINE/VALSARTAN/HCTHIAZID,5-160-25MG,TABLET, $4.31 
065151,AMLODIPINE/VALSARTAN/HCTHIAZID,10-160-25,TABLET, $4.89 
065152,AMLODIPINE/VALSARTAN/HCTHIAZID,10-320-25,TABLET, $5.97 
065166,LAMOTRIGINE,50 MG,TAB RAPDIS, $5.99 
065167,LAMOTRIGINE,25 MG,TAB RAPDIS, $3.77 
065168,LAMOTRIGINE,100 MG,TAB RAPDIS, $5.24 
065169,LAMOTRIGINE,200 MG,TAB RAPDIS, $5.90 
065170,LAMOTRIGINE,25-50-100,TB RD DSPK, $19.08 
065171,LAMOTRIGINE,25(21)-50,TB RD DSPK, $16.70 
065172,LAMOTRIGINE,50(42)-100,TB RD DSPK, $23.85 
065176,"FISH OIL/BORAGE/FLAX/OM3,6,9 1",400-400 MG,CAPSULE, $0.11 
065178,MV-MINS/FOLIC/LYCOPENE/GINKGO,400-600MCG,TABLET, $0.08 
065179,OMEGA-3/DHA/EPA/FISH OIL,300-1000MG,CAPSULE, $0.06 
065192,MULTIVIT 47/IRON/FOLATE 1/DHA,27-1-300MG,CAPSULE, $0.08 
065223,NOREPINEPHRINE BIT/0.9 % NACL,4MG/250ML,PLAST. BAG, $0.15 
065228,TOLVAPTAN,30 MG,TABLET, $105.04 
065241,CHOLECALCIFEROL (VITAMIN D3),125 MCG,TABLET, $0.08 
065250,LAMOTRIGINE,25 MG,TAB ER 24, $0.97 
065251,LAMOTRIGINE,50 MG,TAB ER 24, $1.65 
065252,LAMOTRIGINE,100 MG,TAB ER 24, $1.79 
065253,LAMOTRIGINE,200 MG,TAB ER 24, $2.05 
065286,VANCOMYCIN HCL,750 MG,VIAL, $6.76 
065300,FERROUS SULFATE,142(45)MG,TABLET ER, $0.41 
065348,FERUMOXYTOL,510MG/17ML,VIAL, $14.87 
065368,TADALAFIL,20 MG,TABLET, $0.63 
065371,RANITIDINE HCL,50 MG/2 ML,VIAL, $5.10 
065374,COMPOUND VEHICLE SUGAR-FREE 9,,LIQUID, $0.03 
065388,MULTIVITS/IRON FUM/FA/D3/LYCOP,18-400-600,POWD PACK, $0.08 
065389,DOXERCALCIFEROL,1 MCG,CAPSULE, $12.54 
065396,CHOLECALCIFEROL (VITAMIN D3),50MCG/DROP,DROPS, $2.11 
065397,CHOLECALCIFEROL (VITAMIN D3),10MCG/DROP,DROPS, $0.65 
065420,BENZTROPINE MESYLATE,2 MG/2 ML,VIAL, $23.63 
065429,DICLOFENAC POTASSIUM,25 MG,CAPSULE, $16.30 
065430,SAXAGLIPTIN HCL,2.5 MG,TABLET, $9.01 
065431,SAXAGLIPTIN HCL,5 MG,TABLET, $9.01 
065433,MINOCYCLINE HCL,65 MG,TAB ER 24H, $8.48 
065434,MINOCYCLINE HCL,115MG,TAB ER 24H, $7.69 
065440,MV-MIN/FOLIC AC/BIOTIN/LUTEIN,33-3000MCG,TABLET, $0.08 
065494,SEVELAMER CARBONATE,0.8 G,POWD PACK, $5.91 
065495,SEVELAMER CARBONATE,2.4 G,POWD PACK, $5.16 
065537,ASENAPINE MALEATE,5 MG,TAB SUBL, $4.04 
065538,ASENAPINE MALEATE,10 MG,TAB SUBL, $4.80 
065541,OMEGA-3/DHA/EPA/FISH OIL,1200 MG,CAPSULE, $0.13 
065570,GUANFACINE HCL,1 MG,TAB ER 24H, $0.26 
065572,GUANFACINE HCL,2 MG,TAB ER 24H, $0.35 
065573,GUANFACINE HCL,3 MG,TAB ER 24H, $0.37 
065574,GUANFACINE HCL,4 MG,TAB ER 24H, $0.39 
065576,MULTIVIT-MIN/IRON FUM/FOLIC AC,1.8MG-400,TABLET, $0.08 
065577,AZELASTINE HCL,205.5 MCG,SPRAY/PUMP, $0.59 
065585,L. ACIDOPHILUS/L.BULGARICUS,1MM CELL,TABLET, $0.23 
065587,TAFLUPROST/PF,0.0015 %,DROPERETTE, $5.84 
065589,BENZOYL PEROXIDE,5.3%,FOAM, $7.85 
065598,BEPOTASTINE BESILATE,1.5 %,DROPS, $21.77 
065614,LEVOMEFOLATE CALCIUM,15 MG,TABLET, $1.84 
065635,MVN NO.53/IRON/FOLIC/DSS/DHA,30-1.24-55,CAPSULE, $0.08 
065638,GUAIFEN/DEXTROMETHORPHAN/PE,200-10-5/5,LIQUID, $0.01 
065667,PALIPERIDONE,1.5 MG,TAB ER 24, $2.86 
065709,ARGININE HCL,1000 MG,TABLET, $0.13 
065735,"MULTIVIT,MIN NO.21/FOLIC ACID",1 MG,TABLET DR, $0.08 
065743,CHLORPHENIR/PHENYLEPH/ASPIRIN,2-7.8-325,TABLET EFF, $0.20 
065746,TELMISARTAN/AMLODIPINE,40 MG-5 MG,TABLET, $3.43 
065747,TELMISARTAN/AMLODIPINE,40 MG-10MG,TABLET, $3.43 
065748,TELMISARTAN/AMLODIPINE,80 MG-5 MG,TABLET, $3.43 
065749,TELMISARTAN/AMLODIPINE,80 MG-10MG,TABLET, $3.43 
065752,ACETAMINOPHEN,160 MG/5ML,ORAL SUSP, $0.14 
065754,ACETAMINOPHEN,325/10.15,ORAL SUSP, $0.14 
065755,ACETAMINOPHEN,650MG/20.3,ORAL SUSP, $0.14 
065756,ACETAMINOPHEN,160 MG/5ML,SOLUTION, $0.22 
065757,ACETAMINOPHEN,325/10.15,SOLUTION, $0.12 
065758,ACETAMINOPHEN,650MG/20.3,SOLUTION, $0.11 
065761,PRAMIPEXOLE DI-HCL,0.75 MG,TAB ER 24H, $7.28 
065762,PRAMIPEXOLE DI-HCL,0.375 MG,TAB ER 24H, $7.87 
065763,PRAMIPEXOLE DI-HCL,1.5 MG,TAB ER 24H, $9.39 
065764,PRAMIPEXOLE DI-HCL,3 MG,TAB ER 24H, $10.05 
065765,PRAMIPEXOLE DI-HCL,4.5 MG,TAB ER 24H, $9.76 
065772,CHOLECALCIFEROL (VITAMIN D3),25 MCG,TAB CHEW, $0.07 
065838,PEDI MULTIVIT NO.16 W-FLUORIDE,1 MG,TAB CHEW, $0.09 
065841,MENTHOL/ZINC OXIDE,0.44-20.6%,OINT. (G), $0.03 
065872,CHOLECALCIFEROL (VITAMIN D3),125 MCG/ML,DROPS, $0.22 
065880,FENOPROFEN CALCIUM,400 MG,CAPSULE, $13.08 
065909,DEXMETHYLPHENIDATE HCL,30 MG,CPBP 50-50, $3.20 
065929,COLESEVELAM HCL,3.75 G,POWD PACK, $6.12 
065933,"MINERAL OIL/PETROLATUM,WHITE",42.5-57.3%,OINT. (G), $3.07 
065955,POTASSIUM CITRATE,15 MEQ,TABLET ER, $0.60 
065966,ESTRADIOL,10 MCG,TABLET, $8.47 
065967,ACITRETIN,17.5 MG,CAPSULE, $14.29 
065974,OMEGA-3/DHA/EPA/FISH OIL,1000 MG,CAPSULE, $0.06 
065983,MULTIVIT-MIN/IRON/FA/P.GINSENG,18-0.4-50,TABLET, $0.08 
065992,MULTIVIT-MINS/IRON/FOLIC/LYCOP,8-200-600,TABLET, $0.08 
066015,PEDI MULTIVIT NO.17 W-FLUORIDE,0.25 MG,TAB CHEW, $0.13 
066016,PEDI MULTIVIT NO.17 W-FLUORIDE,0.5 MG,TAB CHEW, $0.13 
066017,PEDI MULTIVIT NO.17 W-FLUORIDE,1 MG,TAB CHEW, $0.13 
066038,IMIQUIMOD,3.75 %,CREAM PACK, $41.49 
066041,MECOBAL/LEVOMEFOLAT CA/B6 PHOS,2-3-35 MG,TABLET, $1.20 
066047,RITONAVIR,100 MG,TABLET, $2.85 
066052,BENZONATATE,150 MG,CAPSULE, $0.12 
066066,DALFAMPRIDINE,10 MG,TAB ER 12H, $0.77 
066092,SILDENAFIL CITRATE,10 MG/12.5,VIAL, $10.58 
066093,CETIRIZINE HCL,10 MG,CAPSULE, $0.38 
066102,WITCH HAZEL,50 %,MED. PAD, $0.05 
066124,"PNV 19/IRON PS,HEME/FOLIC/DHA",22-6-1-200,CAPSULE, $3.60 
066125,LEVOTHYROXINE SODIUM,150 MCG,CAPSULE, $3.45 
066126,LEVOTHYROXINE SODIUM,137 MCG,CAPSULE, $3.97 
066127,LEVOTHYROXINE SODIUM,125 MCG,CAPSULE, $5.17 
066128,LEVOTHYROXINE SODIUM,112 MCG,CAPSULE, $5.17 
066129,LEVOTHYROXINE SODIUM,100 MCG,CAPSULE, $5.17 
066130,LEVOTHYROXINE SODIUM,88 MCG,CAPSULE, $5.17 
066131,LEVOTHYROXINE SODIUM,75 MCG,CAPSULE, $5.17 
066132,LEVOTHYROXINE SODIUM,50 MCG,CAPSULE, $5.17 
066133,LEVOTHYROXINE SODIUM,25 MCG,CAPSULE, $5.17 
066134,LEVOTHYROXINE SODIUM,13 MCG,CAPSULE, $5.17 
066139,MV-MINS 71/IRON/FOLIC NO.1/DHA,28-1-300MG,CAPSULE, $0.08 
066148,MULTIVIT-MINERALS/FOLIC/GINKGO,400MCG-120,TABLET, $0.08 
066174,ROMIDEPSIN,10 MG/2 ML,VIAL," $3,114.69 "
066186,"MULTIVIT,CALC,MINS/IRON/FOLIC",6MG-267MCG,TABLET, $0.08 
066200,HYDROMORPHONE HCL,12 MG,TAB ER 24H, $13.35 
066214,"MULTIVIT,CALC,MINS/IRON/FOLIC",10MG-0.4MG,TABLET, $0.08 
066217,MULTIVIT-MIN/FERROUS GLUCONATE,9 MG/15 ML,LIQUID, $0.08 
066224,POLYDIMETHYLSILOXANES/SILICON,,GEL (GRAM), $1.23 
066234,"MV-MN/FA/LYCOP/OMEGA 3,6,9 #3",400-300MCG,CAPSULE, $0.08 
066237,KIT FOR PREP TC-99M/MEBROFENIN,45 MG,VIAL, $73.80 
066252,"MULTIVIT,CALC,MINS/FOLIC ACID",267 MCG,TABLET, $0.08 
066260,SIROLIMUS,0.5 MG,TABLET, $4.67 
066267,MULTIVIT/FOLIC ACID/ZINC/VIT C,400-50-500,CAPSULE, $0.08 
066296,MULTIVITAMIN/ZINC OXIDE,7.5 MG,TAB CHEW, $0.08 
066308,"PEN NEEDLE, DIABETIC","32GX 5/32""",DIS NEEDLE, $0.05 
066328,NAPROXEN/ESOMEPRAZOLE MAG,500MG-20MG,TAB IR DR, $9.29 
066329,NAPROXEN/ESOMEPRAZOLE MAG,375MG-20MG,TAB IR DR, $12.83 
066336,TRANEXAMIC ACID,650 MG,TABLET, $2.99 
066345,EVEROLIMUS,1 MG,TABLET, $16.80 
066352,DUTASTERIDE/TAMSULOSIN HCL,0.5-0.4 MG,CPMP 24HR, $2.85 
066364,MULTIVIT NO.48/IRON FUM/FA/DHA,28-1-250MG,CAPSULE, $0.08 
066366,VIT A/BETA-CAROT/D2/E/SELENIUM,10000-400,TABLET, $0.08 
066372,BUTALB/ACETAMINOPHEN/CAFFEINE,50-300-40,CAPSULE, $1.27 
066373,GATIFLOXACIN,0.5 %,DROPS, $24.81 
066381,ASPIRIN/CAFFEINE,1000-65 MG,POWD PACK, $0.17 
066386,LACOSAMIDE,10 MG/ML,SOLUTION, $0.39 
066403,OMEPRAZOLE MAGNESIUM,20 MG,CAPSULE DR, $0.41 
066416,LACTOBACILLUS REUTERI,100MM/5DRP,DROPS SUSP, $2.18 
066419,NOREPINEPHRINE BIT/0.9 % NACL,8 MG/250ML,PLAST. BAG, $0.19 
066420,"PNV,CALCIUM 72/IRON/FOLIC ACID",27 MG-1 MG,TABLET, $0.08 
066447,AMIKACIN SULFATE,500 MG/2ML,VIAL, $3.72 
066450,AMIKACIN SULFATE,1000MG/4ML,VIAL, $3.43 
066494,FOLIC ACID/MULTIVIT-MIN/LUTEIN,500-250MCG,TABLET, $0.08 
066495,EVEROLIMUS,2.5 MG,TABLET, $84.96 
066514,MULTIVIT-MIN/FA/LYCOPEN/LUTEIN,500-300MCG,TABLET, $0.08 
066533,DONEPEZIL HCL,23 MG,TABLET, $0.95 
066538,OLMESARTAN/AMLODIPIN/HCTHIAZID,20-5-12.5,TABLET, $1.67 
066539,OLMESARTAN/AMLODIPIN/HCTHIAZID,40-5-12.5,TABLET, $2.31 
066540,OLMESARTAN/AMLODIPIN/HCTHIAZID,40-5-25 MG,TABLET, $2.43 
066541,OLMESARTAN/AMLODIPIN/HCTHIAZID,40-10-12.5,TABLET, $2.26 
066542,OLMESARTAN/AMLODIPIN/HCTHIAZID,40-10-25MG,TABLET, $2.10 
066556,MV-MINS/IRON/FOLIC/LUT/HERB175,3MG-133-33,CAPSULE, $0.08 
066557,CLOZAPINE,150 MG,TAB RAPDIS, $11.39 
066558,CLOZAPINE,200 MG,TAB RAPDIS, $14.50 
066587,BACILLUS COAGULANS/INULIN,1B-250 MG,CAPSULE, $0.40 
066591,DOXEPIN HCL,3 MG,TABLET, $9.00 
066592,DOXEPIN HCL,6 MG,TABLET, $9.40 
066595,MENTHOL,7.5 %,ADH. PATCH, $1.15 
066611,DEXMETHYLPHENIDATE HCL,40 MG,CPBP 50-50, $2.71 
066612,ROFLUMILAST,500 MCG,TABLET, $0.69 
066635,BUPRENORPHINE HCL/NALOXONE HCL,2 MG-0.5MG,FILM, $2.68 
066636,BUPRENORPHINE HCL/NALOXONE HCL,8 MG-2 MG,FILM, $3.97 
066646,UREA,45 %,GEL/PF APP, $5.08 
066656,VIT A/VIT C/VIT E/ZINC/COPPER,2148-113,TABLET, $0.13 
066670,"SODIUM, POTASSIUM,MAG SULFATES",17.5-3.13G,SOLN RECON, $89.41 
066672,MAGNESIUM CHLORIDE,71.5 MG,TABLET DR, $0.20 
066677,"COAGULATION FACTOR VIIA,RECOMB",8 MG,VIAL, $1.75 
066683,MINOCYCLINE HCL,55 MG,TAB ER 24H, $23.04 
066694,"MV,CA,MIN/IRON FUM/FA/BACILL C",14-200-90,TABLET, $0.08 
066708,CYANOCOBALAMIN (VITAMIN B-12),5000 MCG,TAB SUBL, $0.25 
066718,PEDI MULTIVIT NO.82 W-FLUORIDE,0.5 MG/ML,DROPS, $0.27 
066726,DROSPIR/ETH ESTRA/LEVOMEFOL CA,3-0.02(24),TABLET, $4.59 
066734,MV NO.49/IRON/FA/LMEFOLATE/DHA,27-1.13 MG,CAPSULE, $0.08 
066735,MULTIVIT-MIN/FERROUS FUMARATE,9 MG/15 ML,LIQUID, $0.08 
066742,CHLOROPROCAINE HCL/PF,20 MG/ML,VIAL, $1.29 
066744,THIOTEPA,100 MG,VIAL," $3,109.58 "
066750,DOCETAXEL,20MG/ML(1),VIAL, $25.27 
066756,HYDROCORTISONE,1 %,LOTION, $0.09 
066758,TYROSINE,500 MG,CAPSULE, $0.08 
066771,"PETROLATUM,WHITE",44 %,OINT. (G), $0.02 
066781,DABIGATRAN ETEXILATE MESYLATE,150 MG,CAPSULE, $5.67 
066791,SULFACETAMIDE SODIUM/SULFUR,8 %-4 %,SUSPENSION, $0.22 
066795,PROPYLENE GLYCOL,0.6 %,DROPS, $1.29 
066799,GUAIFEN/DEXTROMETHORPHAN/PE,400-20-10,LIQUID, $0.02 
066815,RISEDRONATE SODIUM,35 MG,TABLET DR, $28.44 
066816,SAXAGLIPTIN HCL/METFORMIN HCL,5 MG-500MG,TBMP 24HR, $16.98 
066817,SAXAGLIPTIN HCL/METFORMIN HCL,5MG-1000MG,TBMP 24HR, $16.98 
066818,SAXAGLIPTIN HCL/METFORMIN HCL,2.5-1000MG,TBMP 24HR, $9.30 
066822,"MULTIVIT, MIN NO.23/FOLIC ACID",1 MG,WAFER, $0.08 
066837,FOSAPREPITANT DIMEGLUMINE,150 MG,VIAL, $21.00 
066842,MV-MINS NO.24/IRON/FOLIC ACID,60 MG-1 MG,TABLET, $0.08 
066844,NAPROXEN SODIUM,220 MG,CAPSULE, $0.17 
066852,MV-MIN 51/FOLIC ACID/VIT K/UBI,100-350MCG,TAB CHEW, $0.08 
066879,BENZOYL PEROXIDE,9.8 %,FOAM, $1.53 
066887,ACETAMINOPHEN,1000MG/100,VIAL, $0.10 
066895,CLONIDINE HCL,0.1 MG,TAB ER 12H, $0.45 
066899,GLUCOSAMINE/CHONDROITIN A/MSM,500-200 MG,TABLET, $1.18 
066909,MULTIVIT/IRON/FOLIC ACID/HB179,13.5MG-200,TABLET, $0.08 
066914,GLYCOPYRROLATE,1 MG/5 ML,SOLUTION, $1.04 
066915,MV-MN/FOLIC ACID/LUTEIN/HRB178,200-175MCG,TABLET, $0.08 
066942,BACLOFEN,50 MCG/ML,SYRINGE, $19.16 
066943,BACLOFEN,10000/20ML,VIAL, $9.03 
066944,BACLOFEN,40000/20ML,VIAL, $29.00 
066946,MULTIVIT-MIN/FOLIC ACID/VIT K1,400-80 MCG,CAPSULE, $0.08 
066947,DROSPIR/ETH ESTRA/LEVOMEFOL CA,3-0.03(21),TABLET, $5.79 
066948,MULTIVIT-MIN/IRON/FOLIC ACID/K,18-600-40,CAPSULE, $0.08 
066952,"ANTIHEMOPH.FVIII,B-DOMAIN DEL",3000 (+/-),SYRINGE, $1.28 
066978,CLINDAMYCIN PHOS/BENZOYL PEROX,1.2%-2.5%,GEL W/PUMP, $3.26 
066980,MULTIVITAMIN/FA/ZINC ASCORBATE,0.2MG-15MG,CAPSULE, $0.08 
066985,MV-MN/FOLIC/Q10/LYCOPEN/LUTEIN,400-250MCG,TABLET, $0.08 
066988,SPINOSAD,0.9 %,SUSPENSION, $3.04 
067021,"HEPARIN SODIUM,PORCINE/PF",5000/0.5ML,VIAL, $11.04 
067026,"MV,CA,MIN/IRON/FA/EGCG/CAFFEIN",18-400-32,TABLET, $0.08 
067036,PEDI MULTIVIT NO.25/FOLIC ACID,300 MCG,TAB CHEW, $0.03 
067043,TOPOTECAN HCL,4 MG/4 ML,VIAL, $11.26 
067072,MELATONIN/TRYPTOPHAN,3 MG-100MG,CAPSULE, $4.90 
067073,HYPROMELLOSE CAPSULES (EMPTY),,CAPSULE, $0.02 
067074,EMOLLIENT NO56/HYALURONIC ACID,,GEL (GRAM), $0.09 
067081,CALCIUM CARBONATE/VITAMIN D3,600MG-12.5,CAPSULE, $0.13 
067088,"SYRINGE,NEEDLE,INSULN,SAFE,1ML","30 GX5/16""",DISP SYRIN, $0.20 
067089,"SYRINGE,NEEDLE,INSULN,SF,0.3ML","29 G X1/2""",DISP SYRIN, $0.58 
067090,"MV-MINERALS/FA/OMEGA 3,6,9 #3",400 MCG,CAPSULE, $0.08 
067091,"MV-MN/IRON FUM/FA/OMEGA3,6,9#3",18 MG-600,CAPSULE, $0.08 
067103,FACTOR XIII,1000-1600,VIAL, $8.63 
067104,B COMPLX/C/FOLIC/ZINC/COPPER/E,500-0.4 MG,TABLET, $0.08 
067108,OMEGA-3/DHA/EPA/FISH OIL,300-1000MG,CAPSULE DR, $0.09 
067111,VANCOMYCIN HCL IN 5 % DEXTROSE,750MG/.15L,FROZ.PIGGY, $0.09 
067125,MULTIVIT-MIN/IRON/FA/VIT K/LUT,8MG-400MCG,TABLET, $0.08 
067131,RUFINAMIDE,40 MG/ML,ORAL SUSP, $1.55 
067154,TESTOSTERONE,30MG/1.5ML,SOL MD PMP, $3.08 
067167,DOCETAXEL,80 MG/8 ML,VIAL, $8.29 
067168,DOCETAXEL,20 MG/2 ML,VIAL, $11.47 
067169,DOCETAXEL,160MG/16ML,VIAL, $7.82 
067175,"SYRINGE,NEEDLE,INSULN,SF 0.5ML","30 GX5/16""",DISP SYRIN, $0.58 
067179,VARDENAFIL HCL,10 MG,TAB RAPDIS, $19.00 
067193,"SYRINGE,NEEDLE,INSULN,SF 0.5ML","29 G X1/2""",DISP SYRIN, $0.14 
067194,"SYRINGE,NEEDLE,INSULN,SAFE,1ML","29 G X1/2""",DISP SYRIN, $0.14 
067220,NORETH-ETHINYL ESTRADIOL/IRON,0.8-25(24),TAB CHEW, $3.90 
067221,LAMOTRIGINE,300 MG,TAB ER 24, $3.38 
067223,SODIUM FERRIC GLUCONAT/SUCROSE,62.5MG/5ML,VIAL, $2.22 
067250,NEVIRAPINE,400 MG,TAB ER 24H, $5.93 
067261,GADOBUTROL,7.5/7.5 ML,VIAL, $7.45 
067262,GADOBUTROL,10 MMOL/10,VIAL, $7.45 
067288,MULTIVIT NO.50/IRON COMP/FOLIC,155 MG-1MG,CAPSULE, $0.08 
067312,PHENYLALANINE,100 %,POWDER, $3.10 
067349,ABIRATERONE ACETATE,250 MG,TABLET, $1.64 
067366,TESTOSTERONE,20.25/1.25,GEL MD PMP, $1.19 
067376,VILAZODONE HCL,10 MG,TABLET, $1.53 
067377,VILAZODONE HCL,20 MG,TABLET, $1.53 
067378,VILAZODONE HCL,40 MG,TABLET, $1.53 
067386,KETOROLAC TROMETHAMINE,15.75 MG,SPRAY, $227.02 
067434,CICLOPIROX/UREA/CAMPH/MEN/EUC,8 %,SOLUTION, $14.57 
067468,"MULTIVIT,CALC,MINS/IRON/FOLIC",27MG-400,TABLET, $0.08 
067522,PRAMIPEXOLE DI-HCL,2.25 MG,TAB ER 24H, $11.69 
067523,PRAMIPEXOLE DI-HCL,3.75 MG,TAB ER 24H, $7.93 
067526,MULTIVIT-MIN/FA/LYCOPENE/BORON,200MCG-5MG,TABLET, $0.08 
067527,VITAMIN B COMPLEX/LYSINE,790MG/15ML,LIQUID, $0.02 
067529,CAPSAICIN/ME-SALICYLATE/MENTH,0.002%-20%,LOTION, $2.33 
067537,"VITB,C/IRON FUM/FA/VIT E/AA 16",300-4-0.4,TABLET, $0.08 
067538,MV-MIN/IRON/FOLIC AC/CAL/D3/AA,2.25-0.1MG,TABLET, $0.08 
067540,"MULTIVIT,CALC,MINS/IRON/FOLIC",500-18-0.4,TABLET, $0.08 
067552,VIT B COMP WITH C/CALCIUM CARB,300-150 MG,TABLET, $0.08 
067561,OSELTAMIVIR PHOSPHATE,6 MG/ML,SUSP RECON, $0.47 
067588,EPOPROSTENOL SODIUM,1.5 MG,VIAL, $29.10 
067591,SULFACETAMIDE SODIUM/SULFUR,9 %-4.5 %,CLEANSER, $2.51 
067605,"ANTIHEMOPHILIC FACTOR, HUMAN",801-1500,VIAL, $1.06 
067606,"ANTIHEMOPHILIC FACTOR, HUMAN",1501-2000,VIAL, $1.06 
067629,MULTIVIT-MIN 62/IRON FUM/FOLIC,106 MG-1MG,CAPSULE, $0.08 
067635,DM/ACETAMINOPHEN/DOXYLAMINE,15-325/15,LIQUID, $0.02 
067644,"MV-MINS NO73/IRON FUM,PS/FOLIC",106 MG-1MG,CAPSULE, $0.08 
067679,FERROUS GLUCONATE,324(37.5),TABLET, $0.07 
067692,DEXMETHYLPHENIDATE HCL,25 MG,CPBP 50-50, $3.33 
067693,DEXMETHYLPHENIDATE HCL,35 MG,CPBP 50-50, $4.12 
067700,PROCHLORPERAZINE EDISYLATE,10 MG/2 ML,VIAL, $1.71 
067702,GUAIFENESIN/PSEUDOEPHEDRNE HCL,375MG-60MG,TABLET, $0.61 
067708,EMOLLIENT COMBINATION NO.53,,CREAM (G), $0.64 
067735,BENZOCAINE/MENTHOL,15MG-3.6MG,LOZENGE, $0.11 
067808,"ANTIHEMOPH.FVIII,B-DOMAIN DEL",1000 (+/-),SYRINGE, $1.28 
067809,"ANTIHEMOPH.FVIII,B-DOMAIN DEL",2000 (+/-),SYRINGE, $1.28 
067853,OM-3/DHA/EPA/D3/B12/FA/B-6/PHY,500-1000-1,CAPSULE, $0.08 
067901,IBUPROFEN/FAMOTIDINE,800-26.6MG,TABLET, $4.23 
067922,LEMON FLAVOR EXTRACT,,LIQUID, $0.42 
067926,PHENYLEPHRINE/DM/ACETAMINOP/GG,10-650/20,LIQUID, $0.03 
067982,MV-MIN NO.9/FOLIC/SAW PALM FRT,1MG-320MG,TABLET, $0.08 
068025,CHLORZOXAZONE,375 MG,TABLET, $2.32 
068026,CHLORZOXAZONE,750 MG,TABLET, $3.41 
068035,"MULTIVIT,MIN52/FOLIC/VITK/CQ10",100-700MCG,CAPSULE, $0.08 
068057,"PEN NEEDLE,DUAL SAFETY,DIABETC","30 GX3/16""",DIS NEEDLE, $0.45 
068084,GEMCITABINE HCL,1 G/26.3ML,VIAL, $0.80 
068085,GEMCITABINE HCL,2 G/52.6ML,VIAL, $1.09 
